episode,timestep,reward
1,1500,-174.3374
2,2500,-407.5448
3,3500,-235.4579
4,4500,-145.6844
5,5500,-342.3449
6,6500,-330.2222
7,7500,-396.088
8,8500,55.6566
9,9500,-184.6797
10,10500,-147.14
11,11500,-220.4668
12,12500,-116.0545
13,13500,18.0619
14,14500,-107.1851
15,15500,213.812
16,16500,61.6721
17,17500,219.9423
18,18500,442.8237
19,19500,38.2735
20,20500,687.6131
21,21500,578.2396
22,22500,546.4015
23,23500,355.9634
24,24500,688.1272
25,25500,211.9402
26,26500,464.8701
27,27500,850.5701
28,28500,959.0708
29,29500,1023.5306
30,30500,238.6521
31,31500,-44.5545
32,32500,1626.9047
33,33500,84.0344
34,34500,1472.5759
35,35500,1773.207
36,36500,1672.5461
37,37500,1863.5238
38,38500,1829.321
39,39500,1699.2231
40,40500,1797.5234
41,41500,1949.4293
42,42500,1852.9359
43,43500,2226.1021
44,44500,2323.0037
45,45500,2186.0229
46,46500,2408.6991
47,47500,2403.0908
48,48500,2615.8653
49,49500,2412.4893
50,50500,2365.292
51,51500,2592.1354
52,52500,2789.768
53,53500,930.1034
54,54500,2811.0797
55,55500,2896.7289
56,56500,2731.2874
57,57500,2926.6878
58,58500,2728.7099
59,59500,3255.3798
60,60500,2942.5299
61,61500,3366.1128
62,62500,3502.3821
63,63500,3500.2383
64,64500,3466.6976
65,65500,3407.1555
66,66500,3447.5496
67,67500,3269.9879
68,68500,3406.3687
69,69500,3329.4328
70,70500,3522.1375
71,71500,3130.5183
72,72500,3743.58
73,73500,3310.9857
74,74500,3055.8822
75,75500,3665.0002
76,76500,3188.1174
77,77500,3878.6145
78,78500,3702.4586
79,79500,3570.2554
80,80500,3605.5187
81,81500,3571.0782
82,82500,3685.7936
83,83500,3806.7483
84,84500,3755.0609
85,85500,4130.3191
86,86500,4001.8701
87,87500,4046.1015
88,88500,4176.2698
89,89500,4081.7923
90,90500,3978.6503
91,91500,4251.3346
92,92500,4376.4669
93,93500,4171.2559
94,94500,4035.3801
95,95500,4236.761
96,96500,4180.7452
97,97500,4042.4646
98,98500,4426.042
99,99500,1283.7441
100,100500,4291.1363
101,101500,3856.124
102,102500,4213.9608
103,103500,1179.5317
104,104500,4396.634
105,105500,4596.867
106,106500,4467.848
107,107500,4262.1338
108,108500,4368.2354
109,109500,4597.0523
110,110500,4471.5164
111,111500,4355.1465
112,112500,4675.0254
113,113500,4490.6759
114,114500,681.2296
115,115500,4728.5752
116,116500,4676.2853
117,117500,4907.1609
118,118500,4846.7272
119,119500,4606.072
120,120500,4756.5644
121,121500,4640.6649
122,122500,4802.7456
123,123500,4942.6701
124,124500,4853.1644
125,125500,4903.0158
126,126500,4872.1411
127,127500,4665.7929
128,128500,4765.6502
129,129500,4717.0634
130,130500,4875.4209
131,131500,4834.5057
132,132500,4798.6023
133,133500,4955.9335
134,134500,4807.8435
135,135500,4818.6395
136,136500,4846.1348
137,137500,4743.4333
138,138500,4826.129
139,139500,4535.6529
140,140500,4722.2318
141,141500,4986.9504
142,142500,4861.3103
143,143500,4470.1868
144,144500,4568.725
145,145500,4822.3357
146,146500,4958.7884
147,147500,4856.2782
148,148500,4945.1594
149,149500,5135.8014
150,150500,5043.0499
151,151500,4988.3958
152,152500,4855.2366
153,153500,5012.7026
154,154500,4683.3966
155,155500,5245.2302
156,156500,4981.752
157,157500,4886.4405
158,158500,5199.376
159,159500,5046.3175
160,160500,4942.6622
161,161500,4899.3413
162,162500,5088.8112
163,163500,4397.7381
164,164500,4842.3689
165,165500,4894.2133
166,166500,5029.8456
167,167500,4824.4412
168,168500,4827.9281
169,169500,4953.2102
170,170500,5084.1995
171,171500,5071.3936
172,172500,5158.645
173,173500,4983.9173
174,174500,4920.0479
175,175500,5212.1241
176,176500,5148.0597
177,177500,5132.9629
178,178500,5201.7723
179,179500,5215.4108
180,180500,4747.0371
181,181500,5118.1919
182,182500,5015.3767
183,183500,5245.7213
184,184500,5022.6402
185,185500,5191.7561
186,186500,5079.4038
187,187500,5170.0514
188,188500,5097.8254
189,189500,5068.7378
190,190500,4888.2422
191,191500,5206.7524
192,192500,5379.7851
193,193500,5029.6672
194,194500,5280.0633
195,195500,5064.3143
196,196500,5274.9908
197,197500,5262.706
198,198500,5274.8488
199,199500,5089.6419
200,200500,5323.0041
201,201500,5088.1683
202,202500,4872.1681
203,203500,5287.1226
204,204500,5115.8632
205,205500,5117.4049
206,206500,5241.6895
207,207500,5329.0173
208,208500,5205.0359
209,209500,4939.8557
210,210500,5222.1085
211,211500,4978.5026
212,212500,5242.277
213,213500,5205.5269
214,214500,5253.3332
215,215500,5517.5422
216,216500,5330.5392
217,217500,5331.0397
218,218500,5330.8183
219,219500,5373.6778
220,220500,5326.9458
221,221500,5206.1653
222,222500,1873.3238
223,223500,5215.113
224,224500,5294.3123
225,225500,5451.3641
226,226500,5469.3108
227,227500,5554.5338
228,228500,5797.8188
229,229500,3667.2323
230,230500,5329.3706
231,231500,5527.6034
232,232500,5412.1087
233,233500,5521.5729
234,234500,5253.9871
235,235500,5543.8477
236,236500,5614.0278
237,237500,5551.244
238,238500,5547.1715
239,239500,5572.7414
240,240500,5442.6494
241,241500,5645.179
242,242500,5625.9505
243,243500,5622.7445
244,244500,5610.1588
245,245500,5539.3809
246,246500,5711.9085
247,247500,5538.0311
248,248500,5729.1627
249,249500,5729.47
250,250500,5734.8254
