episode,timestep,reward
4,500,-150.0847
9,1000,-147.1739
14,1500,-149.4351
19,2000,-146.5209
24,2500,-144.0216
29,3000,-148.2614
34,3500,-145.3735
39,4000,-145.0703
44,4500,-150.1067
49,5000,-155.1817
54,5500,-240.1278
59,6000,-224.5293
64,6500,-225.0915
69,7000,-229.9735
74,7500,-218.0099
79,8000,-200.8517
84,8500,-188.0016
89,9000,-190.7618
94,9500,-179.1516
99,10000,-178.6884
104,10500,-179.92
109,11000,-173.8661
114,11500,-154.662
119,12000,-182.0885
124,12500,-163.7338
129,13000,-156.7413
134,13500,-155.3452
139,14000,-169.474
144,14500,-157.4862
149,15000,-153.2162
154,15500,-183.5059
159,16000,-175.7248
164,16500,-177.6298
169,17000,-164.5589
174,17500,-152.083
179,18000,-171.0081
184,18500,-172.8062
189,19000,-164.9361
194,19500,-137.0039
199,20000,-124.9885
204,20500,-133.9473
209,21000,-139.488
214,21500,-143.031
219,22000,-149.6183
224,22500,-130.046
229,23000,-150.6824
234,23500,-165.1742
239,24000,-169.1096
244,24500,-178.8961
249,25000,-156.3525
254,25500,-167.8645
259,26000,-176.6083
264,26500,-153.1666
269,27000,-165.0625
274,27500,-145.9837
279,28000,-141.723
284,28500,-141.9839
289,29000,-135.0858
294,29500,-136.1336
299,30000,-139.0828
304,30500,-142.335
309,31000,-145.8284
314,31500,-145.4355
319,32000,-152.4864
324,32500,-153.609
329,33000,-161.2592
334,33500,-166.4058
339,34000,-170.8676
344,34500,-156.1193
349,35000,-159.1685
354,35500,-168.2931
359,36000,-163.9221
364,36500,-171.9783
369,37000,-176.7695
374,37500,-166.6124
379,38000,-152.5444
384,38500,-162.1362
389,39000,-161.7533
394,39500,-155.5647
399,40000,-144.3426
404,40500,-147.3434
409,41000,-137.8671
414,41500,-137.8087
419,42000,-137.5983
424,42500,-142.8343
429,43000,-150.1257
434,43500,-153.2917
439,44000,-152.1917
444,44500,-161.5329
449,45000,-168.9056
454,45500,-156.8868
459,46000,-154.3589
464,46500,-163.5988
469,47000,-150.9749
474,47500,-151.5591
479,48000,-154.5889
484,48500,-151.2606
489,49000,-134.0108
494,49500,-152.9125
499,50000,-146.7271
504,50500,-134.3385
509,51000,-130.6972
514,51500,-140.5844
519,52000,-143.1183
524,52500,-162.4658
529,53000,-168.0847
534,53500,-179.543
539,54000,-157.9465
544,54500,-156.41
549,55000,-145.9847
554,55500,-164.6219
559,56000,-145.3313
564,56500,-157.4947
569,57000,-162.8034
574,57500,-166.527
579,58000,-168.8424
584,58500,-157.9921
589,59000,-172.0147
594,59500,-164.0623
599,60000,-155.8532
604,60500,-149.5743
609,61000,-145.6965
614,61500,-151.275
619,62000,-140.8767
624,62500,-147.196
629,63000,-140.3782
634,63500,-135.6951
639,64000,-141.1275
644,64500,-160.5573
649,65000,-163.0762
654,65500,-145.5591
659,66000,-131.1261
664,66500,-144.5441
669,67000,-126.8875
674,67500,-139.3913
679,68000,-129.7344
684,68500,-142.1575
689,69000,-114.9387
694,69500,-135.2455
699,70000,-124.6958
704,70500,-136.912
709,71000,-140.2173
714,71500,-139.1613
719,72000,-132.3
724,72500,-139.4609
729,73000,-137.3071
734,73500,-136.4909
739,74000,-145.7868
744,74500,-141.2564
749,75000,-126.7147
754,75500,-144.6802
759,76000,-131.4461
764,76500,-142.357
769,77000,-137.3882
774,77500,-144.5321
779,78000,-150.1876
784,78500,-142.4724
789,79000,-148.0774
794,79500,-149.8284
799,80000,-135.3595
804,80500,-138.0337
809,81000,-136.8715
814,81500,-151.3052
819,82000,-138.731
824,82500,-143.2041
829,83000,-130.9135
834,83500,-131.3508
839,84000,-135.9056
844,84500,-127.0618
849,85000,-138.9294
854,85500,-128.405
859,86000,-133.4639
864,86500,-134.5467
869,87000,-132.4667
874,87500,-137.7674
879,88000,-138.0356
884,88500,-135.4912
889,89000,-133.6269
894,89500,-143.3626
899,90000,-141.8237
904,90500,-136.1947
909,91000,-143.1802
914,91500,-150.3189
919,92000,-135.1293
924,92500,-139.8427
929,93000,-121.9488
934,93500,-126.5254
939,94000,-136.7075
944,94500,-122.099
949,95000,-129.9308
954,95500,-122.0811
959,96000,-134.882
964,96500,-127.4626
969,97000,-134.7303
974,97500,-133.1963
979,98000,-155.9407
984,98500,-149.9778
989,99000,-160.7784
994,99500,-150.7368
999,100000,-139.6461
1004,100500,-129.4054
1009,101000,-128.5228
1014,101500,-113.3126
1019,102000,-120.7164
1024,102500,-117.4447
1029,103000,-118.9397
1034,103500,-106.3816
1039,104000,-116.6398
1044,104500,-117.9281
1049,105000,-109.9188
1054,105500,-108.3421
1059,106000,-104.8326
1064,106500,-119.2331
1069,107000,-108.3623
1074,107500,-110.7679
1079,108000,-104.2549
1084,108500,-109.6839
1089,109000,-112.4624
1094,109500,-112.9293
1099,110000,-109.0618
1104,110500,-113.4787
1109,111000,-109.8478
1114,111500,-108.5323
1119,112000,-98.5715
1124,112500,-92.8394
1129,113000,-99.3739
1134,113500,-98.9871
1139,114000,-100.9485
1144,114500,-92.345
1149,115000,-104.2612
1154,115500,-101.507
1159,116000,-91.9684
1164,116500,-103.3483
1169,117000,-106.9045
1174,117500,-107.2601
1179,118000,-100.2605
1184,118500,-90.7558
1189,119000,-98.0773
1194,119500,-97.6643
1199,120000,-87.7158
1204,120500,-74.1822
1209,121000,-75.1634
1214,121500,-72.031
1219,122000,-64.0756
1224,122500,-56.4593
1229,123000,-56.9846
1234,123500,-54.0923
1239,124000,-55.1895
1244,124500,-52.4799
1249,125000,-53.9584
1254,125500,-56.9421
1259,126000,-60.9801
1264,126500,-56.3267
1269,127000,-56.7502
1274,127500,-50.1103
1279,128000,-55.6546
1284,128500,-61.2566
1289,129000,-60.6145
1294,129500,-64.8326
1299,130000,-65.3574
1304,130500,-66.8523
1309,131000,-65.5411
1314,131500,-66.525
1319,132000,-54.6759
1324,132500,-52.5124
1329,133000,-55.6686
1334,133500,-57.4553
1339,134000,-55.9706
1344,134500,-53.9077
1349,135000,-55.5015
1354,135500,-54.6346
1359,136000,-55.6864
1364,136500,-57.6002
1369,137000,-55.1851
1374,137500,-56.0236
1379,138000,-58.6745
1384,138500,-59.105
1389,139000,-62.722
1394,139500,-63.9422
1399,140000,-62.2566
1404,140500,-68.0545
1409,141000,-64.3429
1414,141500,-64.8394
1419,142000,-60.1492
1424,142500,-70.9989
1429,143000,-71.553
1434,143500,-79.2106
1439,144000,-64.9455
1444,144500,-70.3267
1449,145000,-63.0402
